team,deep_pass,mid_pass,short_pass,screen_pass,inside_run,outside_run
NYJ,1157.2,1175.6,1147.04,1048.24,1080.64,1120.24
BAL,1135.84,1333.84,1133.2,1072.96,1176.96,1215.52
BUF,1284.8,1298.16,1302.08,1066.24,1192.72,1228.72
LA,1136.24,1240.8,1248.88,1076.08,1066.72,1180.24
CAR,1236.88,1339.68,1081.12,1041.52,1116.08,1273.68
CLE,1169.84,1370.8,1133.52,1121.44,1174.88,1235.52
SEA,1336.0,1341.52,1242.96,1000.0,1123.84,1154.88
DEN,1210.24,1111.36,1164.24,1041.04,1060.0,1197.92
MIN,1284.24,1325.92,1230.96,1089.28,1073.92,1176.0
GB,1179.76,1400.0,1178.08,1076.56,1212.16,1211.36
IND,1189.84,1307.28,1177.36,1000.0,1152.16,1134.72
HOU,1198.48,1118.4,1085.76,1052.8,1086.4,1105.76
JAX,1216.0,1298.24,1248.08,1117.52,1127.04,1222.88
WAS,1253.6,1305.6,1149.44,1044.4,1103.92,1121.6
KC,1304.8,1325.6,1312.56,1289.92,1148.72,1185.36
ARI,1050.4,1252.24,1191.12,1064.56,1214.08,1200.08
LAC,1222.4,1290.88,1241.84,1064.8,1147.68,1079.2
LV,1226.56,1239.36,1210.24,1003.12,1173.36,1119.44
NE,1237.52,1322.8,1169.2,1060.96,1124.56,1102.96
MIA,1263.2,1395.68,1121.92,1072.0,1066.96,1178.32
ATL,1118.56,1364.24,1258.8,1055.68,1270.24,1235.36
NO,1196.32,1343.12,1256.64,1006.48,1160.48,1264.08
NYG,1224.16,1269.36,1199.84,1083.52,1095.76,1303.28
TEN,1161.76,1216.72,1181.2,1142.32,1133.68,1147.12
DET,1300.88,1280.0,1284.4,1134.0,1119.68,1218.72
PHI,1264.8,1323.68,1219.52,1061.68,1253.04,1216.24
PIT,1158.88,1289.44,1160.08,1088.56,1152.32,1291.28
CIN,1312.0,1383.68,1273.92,1078.48,1251.36,1090.0
CHI,1207.6,1089.44,1103.76,1110.64,1087.12,1217.92
SF,1185.28,1400.0,1316.4,1156.48,1151.2,1118.56
DAL,1241.68,1337.12,1212.72,1066.96,1130.88,1184.4
TB,1181.2,1236.16,1230.4,1093.12,1068.64,1210.96
