play_id,game_id,yardline_100,down,ydstogo,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,epa,pass_attempt,touchdown,complete_pass,rusher,receiver,offense_formation,offense_personnel,route,defense_coverage_type,involved_player_position
68,2022_01_BAL_NYJ,78.0,1.0,10,19.0,,,,,left,end,1.4688192326575518,0.0,0.0,0.0,Mi.Carter,,SINGLEBACK,"1 RB, 2 TE, 2 WR",,,RB
89,2022_01_BAL_NYJ,59.0,1.0,10,0.0,short,left,0.0,,,,-0.492192422,1.0,0.0,0.0,,Mi.Carter,SHOTGUN,"1 RB, 2 TE, 2 WR",ANGLE,COVER_2,RB
115,2022_01_BAL_NYJ,59.0,2.0,10,5.0,,,,,left,end,-0.325931259,0.0,0.0,0.0,Mi.Carter,,SINGLEBACK,"1 RB, 2 TE, 2 WR",,,RB
202,2022_01_BAL_NYJ,72.0,1.0,10,4.0,short,right,-4.0,8.0,,,0.075127482,1.0,0.0,1.0,,R.Bateman,SINGLEBACK,"2 RB, 1 TE, 2 WR",CROSS,COVER_3,WR
230,2022_01_BAL_NYJ,68.0,2.0,6,4.0,short,left,3.0,1.0,,,-0.105120291,1.0,0.0,1.0,,D.Duvernay,SHOTGUN,"2 RB, 1 TE, 2 WR",HITCH,COVER_4,WR
275,2022_01_BAL_NYJ,60.0,1.0,10,0.0,,,,,right,end,-0.529274165,0.0,0.0,0.0,K.Drake,,SHOTGUN,"2 RB, 2 TE, 1 WR",,,RB
301,2022_01_BAL_NYJ,60.0,2.0,10,8.0,short,left,2.0,6.0,,,0.4111318280920386,1.0,0.0,1.0,,D.Duvernay,EMPTY,"0 RB, 2 TE, 3 WR",OUT,COVER_3,WR
330,2022_01_BAL_NYJ,52.0,3.0,2,1.0,,,,,right,tackle,-1.866571852,0.0,0.0,0.0,K.Drake,,I_FORM,"2 RB, 2 TE, 1 WR",,,RB
391,2022_01_BAL_NYJ,89.0,1.0,10,-2.0,,,,,right,end,-1.058822302,0.0,0.0,0.0,Br.Hall,,SINGLEBACK,"1 RB, 2 TE, 2 WR",,,RB
412,2022_01_BAL_NYJ,91.0,2.0,12,3.0,short,left,3.0,0.0,,,-0.17972556,1.0,0.0,1.0,,Br.Hall,SHOTGUN,"1 RB, 1 TE, 3 WR",ANGLE,COVER_3,RB
469,2022_01_BAL_NYJ,83.0,1.0,10,1.0,,,,,middle,,-0.60292974,0.0,0.0,0.0,Mi.Carter,,SHOTGUN,"2 RB, 1 TE, 2 WR",,,RB
