play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route,season,receiver_position
77,2023_01_ARI_WAS,2.0,7,72,0,1,870,1770,3570,0,3,3,WAS,ARI,1,0,1,short,right,6,J.Dotson,0,6,0.7033076239749789,1,0.016366541385650635,1,0.7033076239749789,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",HITCH/CURL,2023,WR
124,2023_01_ARI_WAS,1.0,10,64,0,1,796,1696,3496,0,3,3,WAS,ARI,1,0,1,short,middle,10,L.Thomas,,0,-0.521543907,0,-0.018036783,0,0.6210258980281651,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",IN/DIG,2023,TE
147,2023_01_ARI_WAS,2.0,10,64,0,1,792,1692,3492,0,3,3,WAS,ARI,0,0,1,short,middle,12,J.Dotson,0,12,1.1731545135844499,1,0.029910088,1,1.1731545135844499,WAS,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",HITCH/CURL,2023,WR
172,2023_01_ARI_WAS,1.0,10,52,0,1,754,1654,3454,0,3,3,WAS,ARI,1,0,1,short,left,-4,C.Samuel,5,1,-0.515451501,0,-0.01791513,1,-1.110128953,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",SCREEN,2023,WR
197,2023_01_ARI_WAS,2.0,9,51,0,1,716,1616,3416,0,3,3,WAS,ARI,1,0,1,short,left,3,L.Thomas,,0,-0.872005443,0,-0.035687566,0,-0.659084279,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",QUICK OUT,2023,TE
220,2023_01_ARI_WAS,3.0,9,51,0,1,711,1611,3411,0,3,3,WAS,ARI,1,0,1,short,right,-3,C.Samuel,5,2,-1.430718563,0,-0.034684271,1,-1.842394338,WAS,,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",QUICK OUT,2023,WR
332,2023_01_ARI_WAS,3.0,5,78,0,1,591,1491,3291,0,3,3,ARI,WAS,1,0,1,short,middle,6,Z.Ertz,0,6,1.6487792921252549,1,0.035908878,1,1.6487792921252549,ARI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",SLANT,2023,TE
380,2023_01_ARI_WAS,2.0,10,72,0,1,548,1448,3248,0,3,3,ARI,WAS,0,0,1,short,left,-4,Z.Ertz,1,-3,-1.215581027,0,-0.034438193,1,-1.498760675,ARI,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",SCREEN,2023,TE
526,2023_01_ARI_WAS,1.0,10,76,0,1,431,1331,3131,0,3,3,WAS,ARI,1,0,1,short,middle,4,L.Thomas,2,6,0.484836683,1,-0.000168681,1,0.028109929,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",SLANT,2023,TE
699,2023_01_ARI_WAS,2.0,4,7,0,1,262,1162,2962,0,3,3,WAS,ARI,1,0,1,short,left,7,B.Robinson,0,7,1.590676628635265,1,0.018087786031288244,1,1.590676628635265,WAS,,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",QUICK OUT,2023,RB
812,2023_01_ARI_WAS,1.0,10,42,0,1,181,1081,2881,-7,3,3,ARI,WAS,1,0,1,short,right,-6,J.Conner,5,-1,-0.925953985,0,-0.022693485,1,-1.332977408,ARI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",SCREEN,2023,RB
842,2023_01_ARI_WAS,2.0,11,43,0,1,136,1036,2836,-7,3,3,ARI,WAS,1,0,1,short,right,14,R.Moore,17,31,2.8097017878317274,1,0.06851086,1,1.888353536487557,ARI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",WHEEL,2023,WR
883,2023_01_ARI_WAS,1.0,10,12,0,1,103,1003,2803,-7,2,3,ARI,WAS,1,0,1,short,middle,12,Z.Ertz,,0,-0.472697861,0,-0.013229579,0,2.1098187288152985,ARI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",POST,2023,TE
935,2023_01_ARI_WAS,3.0,9,11,0,1,60,960,2760,-7,2,3,ARI,WAS,1,0,1,short,middle,8,Z.Ertz,,0,-0.795773633,0,-0.027944148,0,0.20700078853406012,ARI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",IN/DIG,2023,TE
1140,2023_01_ARI_WAS,1.0,10,71,0,2,894,894,2694,4,3,2,WAS,ARI,0,0,1,short,left,9,J.Dotson,,0,-4.904357729,0,-0.124498338,0,0.7493872526101768,WAS,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",,2023,WR
