team,deep_pass,mid_pass,short_pass,screen_pass,inside_run,outside_run
SF,1346.4,1324.0,1181.2,1178.72,1115.44,1202.96
ARI,1164.4,1377.6,1265.36,1052.8,1129.6,1115.04
CHI,1126.96,1280.88,1262.32,1090.72,1099.12,1085.2
DET,1294.4,1331.44,1225.44,1070.08,1142.88,1054.72
CLE,1308.8,1362.64,1185.68,1234.32,1086.4,1245.36
BAL,1253.04,1292.88,1175.12,1102.48,1170.48,1293.76
LA,1164.64,1323.52,1250.4,1094.32,1182.64,1201.52
DAL,1223.76,1380.96,1205.28,1064.96,1093.36,1109.28
GB,1264.0,1400.0,1357.04,1141.44,1114.0,1205.36
MIN,1356.8,1400.0,1251.44,1139.2,1137.28,1234.0
HOU,1354.4,1396.8,1324.4,1085.2,1107.76,1213.68
KC,1229.36,1392.8,1315.04,1202.16,1187.68,1187.28
IND,1304.8,1334.88,1221.2,1149.68,1083.04,1164.24
JAX,1178.48,1248.56,1206.08,1079.92,1105.36,1079.2
CIN,1102.24,1304.4,1278.96,1101.04,1066.08,1091.2
LAC,1264.8,1303.68,1219.68,1148.8,1100.08,1124.16
LV,1299.2,1274.56,1251.12,1072.24,1130.32,1184.96
CAR,1312.0,1186.56,1214.72,1079.44,1085.2,1195.76
MIA,1312.32,1255.04,1251.6,1110.16,1079.2,1171.2
NE,1257.12,1356.96,1152.16,1068.16,1163.68,1247.12
NYJ,1124.32,1170.48,1151.92,1015.84,1059.52,1164.16
BUF,1287.2,1384.56,1319.92,1180.24,1207.36,1222.0
WAS,1166.32,1253.52,1173.6,1065.52,1130.0,1165.44
PHI,1191.28,1266.72,1123.92,1038.4,1113.68,1157.92
NYG,1345.6,1114.88,1153.6,1054.24,1121.76,1149.04
PIT,1185.76,1319.68,1193.36,1086.88,1078.48,1228.16
ATL,1322.72,1380.48,1211.6,1064.56,1084.4,1161.12
SEA,1228.08,1393.28,1282.24,1096.0,1189.2,1124.8
NO,1400.0,1333.28,1200.56,1104.16,1183.84,1212.16
TB,1280.8,1376.08,1237.68,1109.2,1099.04,1319.84
TEN,1320.0,1334.08,1318.16,1042.48,1130.64,1265.84
DEN,1162.72,1101.6,1198.24,1000.0,1084.48,1236.32
