play_id,game_id,yardline_100,down,ydstogo,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,epa,pass_attempt,touchdown,complete_pass,rusher,receiver,offense_formation,offense_personnel,route,defense_coverage_type,involved_player_position
54,2020_01_ARI_SF,75.0,1.0,10,5.0,short,right,4.0,1.0,,,1.294837881345302,1.0,0.0,1.0,,G.Kittle,SHOTGUN,"2 RB, 1 TE, 2 WR",OUT,COVER_1,TE
93,2020_01_ARI_SF,55.0,1.0,10,14.0,,,,,right,tackle,0.8572143006604165,0.0,0.0,0.0,R.Mostert,,SHOTGUN,"2 RB, 1 TE, 2 WR",,,RB
118,2020_01_ARI_SF,41.0,1.0,10,2.0,,,,,left,end,-0.454664819,0.0,0.0,0.0,R.Mostert,,SINGLEBACK,"2 RB, 1 TE, 2 WR",,,RB
143,2020_01_ARI_SF,39.0,2.0,8,-6.0,,,,,right,end,-1.780659827,0.0,0.0,0.0,R.Mostert,,SHOTGUN,"2 RB, 1 TE, 2 WR",,,RB
165,2020_01_ARI_SF,45.0,3.0,14,11.0,short,middle,10.0,1.0,,,-0.538702064,1.0,0.0,1.0,,G.Kittle,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH,COVER_3,TE
245,2020_01_ARI_SF,75.0,1.0,10,3.0,short,left,3.0,0.0,,,-0.414010514,1.0,0.0,1.0,,D.Hopkins,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT,COVER_4,WR
274,2020_01_ARI_SF,72.0,2.0,7,7.0,short,left,6.0,1.0,,,0.940409568604082,1.0,0.0,1.0,,L.Fitzgerald,SHOTGUN,"1 RB, 2 TE, 2 WR",HITCH,COVER_4,WR
320,2020_01_ARI_SF,75.0,2.0,20,0.0,short,right,4.0,,,,-0.80585134,1.0,0.0,0.0,,L.Fitzgerald,EMPTY,"1 RB, 1 TE, 3 WR",HITCH,COVER_4,WR
372,2020_01_ARI_SF,75.0,3.0,20,10.0,short,right,0.0,10.0,,,-0.361322523,1.0,0.0,1.0,,L.Fitzgerald,EMPTY,"1 RB, 0 TE, 4 WR",SCREEN,COVER_4,WR
431,2020_01_ARI_SF,76.0,1.0,10,76.0,short,middle,5.0,71.0,,,5.877869440708309,1.0,1.0,1.0,,R.Mostert,SHOTGUN,"2 RB, 1 TE, 2 WR",ANGLE,COVER_1,RB
491,2020_01_ARI_SF,75.0,1.0,10,1.0,short,left,-4.0,5.0,,,-0.568728252,1.0,0.0,1.0,,D.Hopkins,SHOTGUN,"1 RB, 2 TE, 2 WR",SCREEN,COVER_4,WR
515,2020_01_ARI_SF,74.0,2.0,9,2.0,short,right,-6.0,8.0,,,-0.546952432,1.0,0.0,1.0,,K.Drake,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN,COVER_4,RB
547,2020_01_ARI_SF,72.0,3.0,7,0.0,deep,right,18.0,,,,-1.29155719,1.0,0.0,0.0,,C.Kirk,SHOTGUN,"1 RB, 1 TE, 3 WR",GO,COVER_1,WR
599,2020_01_ARI_SF,69.0,1.0,10,5.0,short,right,1.0,4.0,,,0.089371925,1.0,0.0,1.0,,R.Mostert,I_FORM,"2 RB, 1 TE, 2 WR",OUT,COVER_3,RB
628,2020_01_ARI_SF,64.0,2.0,5,0.0,,,,,left,tackle,-0.870787937,0.0,0.0,0.0,R.Mostert,,I_FORM,"2 RB, 1 TE, 2 WR",,,RB
